Pipeline_File,Reference_File,Status,Quarter,Excel_Column,Column_Code,Section,Category,Metric,Column_Description,Pipeline_Value,Reference_Value,Difference,Source_File,Source_Value,Pipeline_Correct,Reference_Correct,Verification_Note
SIFA_DATA.csv,SIFA_DATA_20250212.xlsx,MISSING,2024-Q3,81,SWEPENFND.EQUITYFUND.TOTAL.NETSAVINGPERC.Q,Equity funds,TOTAL,Net savings %,Equity funds: TOTAL: Net savings %,,100.0,,fund-saving-by-category-2024.xlsx,,,,
SIFA_DATA.csv,SIFA_DATA_20250212.xlsx,MISSING,2024-Q3,82,SWEPENFND.EQUITYFUND.SWEHOUSEHOLD.NETASSET.Q,Equity funds,Swedish households,Net assets,"Equity funds: Swedish households, direct inv.: Net assets",,377952.75,,fund-saving-by-category-2024.xlsx,,,,
SIFA_DATA.csv,SIFA_DATA_20250212.xlsx,MISSING,2024-Q3,83,SWEPENFND.EQUITYFUND.ISK.NETASSET.Q,Equity funds,ISK,Net assets,Equity funds: ISK (Investment Savings Account): Net assets,,365638.56,,fund-saving-by-category-2024.xlsx,,,,
SIFA_DATA.csv,SIFA_DATA_20250212.xlsx,MISSING,2024-Q3,84,SWEPENFND.EQUITYFUND.IPS.NETASSET.Q,Equity funds,IPS,Net assets,Equity funds: IPS (Individual Pension Saving): Net assets,,104469.55,,fund-saving-by-category-2024.xlsx,,,,
SIFA_DATA.csv,SIFA_DATA_20250212.xlsx,MISSING,2024-Q3,85,SWEPENFND.EQUITYFUND.UNITLINK.NETASSET.Q,Equity funds,Unit linked,Net assets,Equity funds: Unit linked: Net assets,,1176409.41,,fund-saving-by-category-2024.xlsx,,,,
SIFA_DATA.csv,SIFA_DATA_20250212.xlsx,MISSING,2024-Q3,86,SWEPENFND.EQUITYFUND.PREMPENSSAVING.NETASSET.Q,Equity funds,Premium Pension,Net assets,Equity funds: Premium Pension Savings: Net assets,,1996543.35,,fund-saving-by-category-2024.xlsx,,,,
SIFA_DATA.csv,SIFA_DATA_20250212.xlsx,MISSING,2024-Q3,87,SWEPENFND.EQUITYFUND.NOMIEEACC.NETASSET.Q,Equity funds,Nominee Accounts,Net assets,Equity funds: Nominee Accounts: Net assets,,672965.79,,fund-saving-by-category-2024.xlsx,,,,
SIFA_DATA.csv,SIFA_DATA_20250212.xlsx,MISSING,2024-Q3,88,SWEPENFND.EQUITYFUND.NONPROFINST.NETASSET.Q,Equity funds,Non profit inst.,Net assets,Equity funds: Non profit institutions serving households: Net assets,,70653.3,,fund-saving-by-category-2024.xlsx,,,,
SIFA_DATA.csv,SIFA_DATA_20250212.xlsx,MISSING,2024-Q3,89,SWEPENFND.EQUITYFUND.SWECORP.NETASSET.Q,Equity funds,Swedish corporations,Net assets,Equity funds: Swedish corporations: Net assets,,577156.06,,fund-saving-by-category-2024.xlsx,,,,
SIFA_DATA.csv,SIFA_DATA_20250212.xlsx,MISSING,2024-Q3,90,SWEPENFND.EQUITYFUND.OTHER.NETASSET.Q,Equity funds,Others,Net assets,Equity funds: Others: Net assets,,86904.7,,fund-saving-by-category-2024.xlsx,,,,
